# x, y, z
-8,-6,3.87
-5.43,-6,3.83
-2.86,-6,3.91
-0.29,-6,3.78
2.29,-6,3.9
4.86,-6,3.77
7.43,-6,3.77
10,-6,3.77
-8,-4,3.97
-5.43,-4,3.89
-2.86,-4,3.94
-0.29,-4,4.02
2.29,-4,3.96
4.86,-4,3.85
7.43,-4,3.97
10,-4,3.69
-8,-2,3.81
-5.43,-2,3.94
-2.86,-2,3.89
-0.29,-2,4.02
2.29,-2,4.07
4.86,-2,3.91
7.43,-2,3.86
10,-2,3.85
-8,0,3.95
-5.43,0,3.85
-2.86,0,4.02
-0.29,0,3.94
2.29,0,3.99
4.86,0,4.09
7.43,0,4.08
10,0,3.78
-8,2,3.71
-5.43,2,3.92
-2.86,2,4.16
-0.29,2,3.99
2.29,2,4.04
4.86,2,3.99
7.43,2,3.98
10,2,3.9
-8,4,4.01
-5.43,4,3.99
-2.86,4,3.91
-0.29,4,4
2.29,4,3.97
4.86,4,3.95
7.43,4,3.94
10,4,3.72
-8,6,3.81
-5.43,6,3.81
-2.86,6,3.97
-0.29,6,3.88
2.29,6,3.84
4.86,6,3.92
7.43,6,3.62
10,6,3.78
